,Game,metacritic_score,metacritic_review_count,user_score,user_review_count,content_rating,genres,release_year,Publisher,global_unit_sales
14,Pro Evolution Soccer 2017,87,12,5.9,99.0,E,"['Sports', ' Team', ' Soccer', ' Sim']",2016,Konami Digital Entertainment,0.1
15,Destiny 2,87,22,4.4,589.0,T,"['Action', ' Shooter', ' First-Person', ' Arcade']",2017,Activision,2.35
16,Dirt Rally,86,17,7.9,83.0,E,"['Racing', ' Simulation', ' Automobile']",2016,Codemasters,0.21
17,Cuphead,86,72,8.3,801.0,E10+,"['Action', ' Platformer', ' 2D']",2017,,0.0
18,Shovel Knight,86,10,7.6,64.0,E,"['Action', ' Platformer', ' 2D']",2015,Yacht Club Games,0.0
19,Nba 2K14,86,15,5.7,184.0,E,"['Sim', ' Sports', ' Traditional', ' Team', ' Basketball', ' Sim']",2013,2K Sports,0.94
20,Titanfall,86,68,6.7,2485.0,M,"['Shooter', ' Sci-Fi', ' Miscellaneous', ' General', ' Action', ' Shooter', ' First-Person', ' Sci-Fi', ' Arcade']",2014,Electronic Arts,3.11
21,Rise Of The Tomb Raider,86,102,8.0,1427.0,M,"['Fantasy', ' Action Adventure', ' General', ' Linear']",2015,Square Enix,1.58
22,Dirt 4,86,21,6.7,61.0,T,"['Racing', ' Simulation', ' Automobile']",2017,Codemasters,0.23
23,Forza Motorsport 7,86,79,6.2,833.0,E,"['Racing', ' Simulation', ' Automobile']",2017,Microsoft Studios,1.52
24,Batman: Arkham Knight,85,16,6.9,816.0,M,"['General', ' Fantasy', ' Action Adventure', ' Open-World']",2015,Warner Bros. Interactive Entertainment,1.58
25,Assassin'S Creed Origins,85,42,7.5,634.0,M,"['Action Adventure', ' Open-World']",2017,Ubisoft,2.47
26,Axiom Verge,85,4,7.7,9.0,E10+,"['Action Adventure', ' General']",2016,,0.0
27,Pro Evolution Soccer 2016,85,14,6.0,151.0,E,"['Sports', ' Team', ' Soccer', ' Sim']",2015,Konami Digital Entertainment,0.12
28,Limbo,85,5,8.0,80.0,T,"['Action', ' Platformer', ' 2D']",2014,,0.0
29,Playerunknown'S Battlegrounds,85,9,5.0,140.0,T,"['Action', ' Shooter', ' First-Person', ' Tactical']",2018,Microsoft Studios,2.17
30,Life Is Strange,85,4,8.5,249.0,M,"['Sci-Fi', ' Action Adventure', ' General']",2015,Square Enix,0.12
31,Shadow Tactics: Blades Of The Shogun,85,6,7.7,23.0,M,"['Strategy', ' Real-Time', ' Tactics']",2017,Kalypso Media,0.01
32,Nba 2K18,85,16,1.5,173.0,E10+,"['Sports', ' Team', ' Basketball', ' Sim']",2017,2K Sports,2.02
33,Project Cars 2,84,22,5.7,68.0,E,"['Racing', ' Simulation', ' Automobile']",2017,Namco Bandai Games,0.2
34,Rare Replay,84,75,8.0,353.0,M,"['Miscellaneous', ' Compilation']",2015,Microsoft Studios,0.78
35,Gears Of War 4,84,99,7.0,1322.0,M,"['Action', ' Sci-Fi', ' Third-Person', ' Shooter', ' Arcade']",2016,Microsoft Studios,3.38
36,Halo 5: Guardians,84,101,6.4,2950.0,T,"['Shooter', ' Sci-Fi', ' Sci-Fi', ' Action', ' Shooter', ' First-Person', ' Arcade']",2015,Microsoft Studios,4.92
37,Terraria,84,5,7.8,39.0,T,"['Action', ' Action Adventure', ' Platformer', ' Sandbox', ' 2D']",2014,505 Games,0.04
38,F1 2017,84,17,7.3,33.0,E,"['Racing', ' Simulation', ' Automobile']",2017,Koch Media,0.19
39,Battle Chasers: Nightwar,84,8,6.8,44.0,T,"['Role-Playing', ' Action RPG', ' Japanese-Style']",2017,THQ Nordic,0.04
